"test","sample_type","p_value","F_stat"
"PERMANOVA","nt",0.001,13.2211196758009
"PERMANOVA","tm",0.001,21.4883951695646
"PERMANOVA","tac",0.247,1.40520584113849
"PERMDISP","nt",0.001,18.1151023532629
"PERMDISP","tm",0.011,8.85313539103631
"PERMDISP","tac",0.18,1.82916224717053
