"site_reach","site","field_date","sample_type","anabaena_and_cylindrospermum","ankistrodesmus","aphanothece","calothrix","chantransia","chroococcus","cladophora","closterium","coelastrum","cosmarium","desmodesmus_spines","epithemia","euglenoid","geitlerinema","gloeocystis","gloeotrichia","homoeothrix","lacunastrum","leptolyngbya","lyngbya","microcoleus","mougeotia","non_algal","non_e_r_diatoms","nostoc","oedogonium","oocystis","oscillatoria","other_coccoids","pediastrum","phormidium_unknown","rhopalodia","rivularia","scenedesmus_no_spines","scytonema","spirogyra","stauridium","stigeoclonium","tetraedron","tolypothrix","ulothrix","unknown","unknown_green_algae","zygnema","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","TM_ATX_all_ug_chla_ug","TM_ATX_all_ug_orgmat_g","TAC_ATX_all_ug_chla_ug","TAC_ATX_all_ug_orgmat_g"
"SFE-M-1S","SFE-M","2022-07-28","NT",7.75,0,0,0.025,0,0,12.525,0,0.05,0.05,0.125,13,0,2,0,0,0,0,0.5,0,5.5,1.25,11.75,8,15.675,2,0,0,1.25,0.05,0,0.8,1.5,0.175,0,16,0,0,0,0,0,0.025,0,0,8.9,24.49,9.364,216.4,3.901,0.006,0.00291,8.9,16.2,0.751,6.57,11.04,0.11,9.56,0.97,8.87,19.96,0.0001052,0.6402563,0.0007105,10.9846586
"SFE-M-1S","SFE-M","2022-08-10","NT",8.2,0.02,0,0.06,0,0.2,5.6,0,0.02,0,0.18,10.2,0,2,0,0,0.02,0,1,0.02,8.4,1,14,4.6,0,8.6,0,0,2,0,0,2.6,3.6,0.38,0,27.22,0.06,0,0,0,0,0.02,0,0,8.55,21.81,8.855,230.6,3.7375,0.0325,0.04816,8.55,16.18,4.512,7.12,10.78,0.3,9.96,1.1,10.26,10.57,0.00048,6.0798106,0.0110387,155.2359736
"SFE-M-1S","SFE-M","2022-08-23","NT",3,0,0,0,0,0,9,0,0.025,0,0,7.25,0,0.75,0,0,2,0,0.75,0,1.025,0,13.5,6.75,0,1.25,0,0,1.5,0,0,2.5,0,0.05,0,48.85,0.025,0,0.025,0,0,0,0,1.75,8.75,24.2,8.693,243.8,4.229,0.015,0.00766,8.75,23.04,0.8755,7.57,11.48,0.09,10.42,1.11,10.6,22.68,9.07e-05,1.4883029,NA,NA
"SFE-M-1S","SFE-M","2022-09-06","NT",3,0,0.025,0,0,0.025,15.5,0,0.025,0.025,0.025,7.25,0,0.75,0,0.025,0.05,0,1.75,0.275,5.75,0.25,14.5,5,0.025,5.75,0,0,2.5,0,0,2.75,4.75,0.2,0,26.175,0.55,0.05,0.025,0,0,0,0,3,8.17,22.466,7.399,NA,6.473,0.024,0.00868,8.17,16.7,0.6444,7.92,11.66,0.1,10.52,1.11,11.1,15.91,0.0004401,3.2071741,0,0
"SFE-M-1S","SFE-M","2022-09-17","NT",5.5,0.025,0,0,0,0.1,2.5,0,0.025,0.05,0.025,8,0,3,0.025,0,3,0.025,1,0.025,3.25,0.75,15,7.25,1,2.5,0,0,2.75,0,0,3.25,0,0.3,0,38.8,0.325,0.75,0.025,0,0,0,0,0.75,7.97,19.96,7.813,251.2,5.342,0.023,0.00694,7.97,19.63,0.4319,8.26,11.55,0.09,10.64,1.09,12.03,11.13,0.0003899,3.2816982,0,0
"SFE-M-3","SFE-M","2022-06-29","NT",0,0,0,0,0,0,38.76,0,0,0,0.2,2.4,0,2,0,0,0,0,0,0.02,23,0.4,13,12.4,0.42,0.6,0,0,2,0,0,0,0,0.2,0,4.6,0,0,0,0,0,0,0,0,NA,23.6,9.793,NA,5.812,0.011,0.00788,8.88,14.29,1.194,5.67,10.87,0.005,9.12,0.91,9.73,17.5,0,0,NA,NA
"SFE-M-3","SFE-M","2022-07-14","NT",3.775,0,0,0,0,0,12.2,0,0,0,0.025,0.075,0,1,0,0,0.025,0,0,0,3.825,0.025,5,4.25,16.675,0,0,0,1,0,0,0.75,0,0.175,0,51.2,0,0,0,0,0,0,0,0,NA,23.63,10.255,229.6,4.093,0.011,0.00516,8.88,11.9,0.5737,6.29,10.61,0.09,9.43,0.96,9.83,14.86,0,0,0.0001738,1.9259609
"SFE-M-3","SFE-M","2022-07-28","NT",9.75,0,0.775,0,0,0.025,13.25,0,0.025,0.5,0.6,14,0,3.75,0,0,1.25,0,2.025,0,9.15,0,18.2,7,0.25,3,0,0.075,3,0,0,2.25,0,0.65,0,10.425,0,0,0,0,0,0.025,0,0,8.88,25.83,10.77,216.9,5.73,0.006,0.00335,8.88,18.55,0.9554,6.61,10.53,0.005,9.6,1,9.02,18.11,0,0,0.0005721,9.6272722
"SFE-M-3","SFE-M","2022-08-10","NT",4.75,0.025,0,0,0,0,37,0,0,0.05,0,10,0,2.5,0,0,0,0,0,0.025,0.775,0,15,5,0,5.25,0,0,2.25,0,0,4.5,0,0.4,0,12.175,0.275,0.025,0,0,0,0,0,0,8.63,24.71,10.236,240.3,3.68,0.028,0.06271,8.63,14.49,2.551,7,10.46,0.08,9.94,1.02,10.08,12.11,6.72e-05,0.7992448,0.0003683,4.4073276
"SFE-M-3","SFE-M","2022-08-23","NT",2.33333333333333,0.0333333333333333,0.333333333333333,0,0,0.0333333333333333,1.66666666666667,0,0,0,0.1,5.66666666666667,0,1.33333333333333,0,0,0.0666666666666667,0.0333333333333333,0.366666666666667,0,9.33333333333333,0.666666666666667,17.3333333333333,5,0,10,0,0,2.66666666666667,0,0,1,0,0.0666666666666667,0,41.8,0.1,0.0333333333333333,0.0333333333333333,0,0,0,0,0,8.62,24.71,9.626,248.4,3.8,0.018,0.00769,8.62,19.07,0.6235,7.58,11.34,0.1,10.45,1.12,10.78,16.43,9.48e-05,1.1992479,0.000181,1.6982777
"SFE-M-3","SFE-M","2022-09-06","NT",1,0.0666666666666667,0,0,0,0.1,20.3333333333333,0,0.0333333333333333,0.0666666666666667,0.0666666666666667,6.33333333333333,0.0333333333333333,1.33333333333333,0,0,0.333333333333333,0,2,0,0.1,1.33333333333333,9,13,0,10.3333333333333,0,0,3,0,0,0,0,0.0666666666666667,0,30.0666666666667,0.366666666666667,1,0,0,0,0.0333333333333333,0,0,8.47,24.115,9.223,NA,6.4115,0.014,0.006595,8.47,18.77,0.54,3.46,5.16,0.05,4.46,0.47,5.85,13.53,4.12e-05,0.5189985,NA,NA
"SFE-M-3","SFE-M","2022-09-17","NT",0,0,0.05,0,0,2.25,8.5,0,0.025,0.025,0,6.75,0,5.5,0.025,0,0.05,0,0.25,0,14.25,0,18,7.5,0.025,4.25,0.3,0,3.25,0,0,0.25,0,0.075,0.25,28.375,0.05,0,0,0,0,0,0,0,8.37,19.66,9.033,246.7,5.058,0.015,0.00769,8.37,15.68,0.4455,8.49,11.77,0.11,10.71,1.17,11.19,17.53,5.22e-05,0.628766,NA,NA
"SFE-M-4","SFE-M","2022-06-29","NT",0,0,0,0,0,0,1.75,0,0,0,0,1.05,0,1.25,0,0,0,0,0,0.275,0,0.5,6.5,3,58.3,0.5,0,0,1,0,0,0,0,0.15,0,25.725,0,0,0,0,0,0,0,0,NA,25.43,10.132,NA,7.008,0.013,0.005,9.14,19.32,2.451,5.78,10.8,0.1,9.23,0.93,9.88,16.51,0,0,NA,NA
"SFE-M-4","SFE-M","2022-07-14","NT",3,0,0,0.025,0,0,9,0,0,0,0.075,2.5,0,0.75,0,0,0,0,0.75,0,0.025,0,4.5,5.75,30.9,3.5,0,0,1.25,0,0,0.025,0,0.475,0,37.45,0,0,0,0,0,0,0,0,NA,25.72,11.059,236.2,6.021,0.017,0.00447,9.14,18.16,0.7703,6.16,10.64,0.1,9.38,0.95,9.77,15.73,NA,NA,8.16e-05,0.6183889
"SFE-M-4","SFE-M","2022-07-28","NT",9.75,0.025,0.125,0,0,0.175,9.75,0,0,0.525,0.3,8.75,0,2.25,0,0,0.525,0,1,0,11.2,0.25,14.25,5,5.95,5.25,0,0,3,0,0,3.75,0.05,0.4,0,17.6,0.025,0,0.1,0,0,0,0,0,9.14,28.48,9.673,218.7,3.503,0.005,0.00338,9.14,18.47,1.037,6.64,10.84,0.09,9.65,0.98,9.17,14.51,NA,NA,0.0006956,11.1391016
"SFE-M-4","SFE-M","2022-08-10","NT",1.8,0,0.4,0,0,0,31.04,0,0.02,0.02,0.1,9.4,0,1.2,0,0,0,0.04,0.6,0,1.8,0,9.8,8.2,28.56,0,0.02,0,1.6,0,0,1.4,0,0.32,0,3.4,0.22,0,0.04,0,0,0,0,0,8.92,27.1,11.405,239.4,3.996,0.027,0.009035,8.92,15.7,0.6784,7.09,10.95,0.09,10.14,1.06,10.25,14.93,0.019244,237.0378103,0.014551,95.8824819
"SFE-M-4","SFE-M","2022-08-23","NT",1,0,0,0,0,0.525,10.5,0,0,0,0,9,0,1.75,0,0.025,0.075,0,0.775,0,2.25,0,14.5,6.75,1,10.25,0,0,1.5,0,0,1.75,0,0.275,0,37.675,0.325,0,0.05,0,0,0.025,0,0,8.85,27.38,11.773,236.8,4.2415,0.023,0.007965,8.85,14.935,0.67675,6.7,9.725,0.075,9.04,0.965,9.845,10.88,NA,NA,NA,NA
"SFE-M-4","SFE-M","2022-09-06","NT",0,0,0,0,0,0.075,11.75,0,0.05,0,0,5.75,0,0.5,0,0,1.3,0.025,1.25,5.75,0.025,0,18.75,4.25,0,0.75,0,0,2.75,0,0,1.5,8.75,0.325,0,36.375,0.05,0,0.025,0,0,0,0,0,8.74,27.42,11.245,NA,5.307,0.028,0.0112,8.74,17.99,0.7294,7.77,11.25,0.1,10.22,1.14,10.99,14.82,NA,NA,NA,NA
"SFE-M-4","SFE-M","2022-09-17","NT",0,0,0.0333333333333333,2.66666666666667,0,0.0666666666666667,8.33333333333333,0,0,0,0.0333333333333333,3.66666666666667,0,1.66666666666667,0,0,16.3,0,1.33333333333333,1,0,0,9.33333333333333,5.33333333333333,0,4.33333333333333,0,0,2.33333333333333,0,0,0,0.0333333333333333,0.0666666666666667,0,43.3333333333333,0.0333333333333333,0.0333333333333333,0,0,0,0.0666666666666667,0,0,8.53,20.64,10.759,248.6,4.968,0.017,0.01033,8.53,18.44,0.5118,8.23,11.84,0.11,10.6,1.05,11.24,17.49,NA,NA,NA,NA
