"site_reach","site","field_date","sample_type","anabaena_and_cylindrospermum","ankistrodesmus","aphanothece","calothrix","chantransia","chroococcus","cladophora","closterium","coelastrum","cosmarium","desmodesmus_spines","epithemia","euglenoid","geitlerinema","gloeocystis","gloeotrichia","homoeothrix","lacunastrum","leptolyngbya","lyngbya","microcoleus","mougeotia","non_algal","non_e_r_diatoms","nostoc","oedogonium","oocystis","oscillatoria","other_coccoids","pediastrum","phormidium_unknown","rhopalodia","rivularia","scenedesmus_no_spines","scytonema","spirogyra","stauridium","stigeoclonium","tetraedron","tolypothrix","ulothrix","unknown","unknown_green_algae","zygnema","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","TM_ATX_all_ug_chla_ug","TM_ATX_all_ug_orgmat_g","TAC_ATX_all_ug_chla_ug","TAC_ATX_all_ug_orgmat_g"
"RUS-2","RUS","2022-08-17","NT",1.66666666666667,0,0,0,0,0,0,0,0,0,0.0333333333333333,7.66666666666667,0.0333333333333333,0.333333333333333,0,0,0,0,0.666666666666667,0.0333333333333333,0,7.33333333333333,13,6.33333333333333,0,0,0,0,2.33333333333333,0,0,3.66666666666667,0,0.0666666666666667,0,48.5,0,8.33333333333333,0,0,0,0,0,0,8.27,23.53,9.426,262.6,9.835,0.015,0.01541,8.27,21.52,2.416,6.54,11.62,0.14,10.08,1.13,14.24,18.13,NA,NA,0,0
"RUS-2","RUS","2022-09-01","NT",7,0,0,0,0,0.0333333333333333,5.66666666666667,0,0,0,0.0333333333333333,12.6666666666667,0,0.666666666666667,0,0,0.1,0,2,0.0666666666666667,0.0333333333333333,8,8.33333333333333,16.5666666666667,0,10,0,0.0666666666666667,1,0.0333333333333333,0.0333333333333333,5,0,0.0666666666666667,0,16.6,0,6.03333333333333,0,0,0,0,0,0,8.27,22.69,9.426,241.7,8.5965,0.01,0.00747,8.27,16.87,1.8245,5.385,9.385,0.09,8.285,0.975,12.41,12.445,NA,NA,8.38e-05,0.7018993
"RUS-2","RUS","2022-09-15","NT",10.3333333333333,0,0.0333333333333333,0,1.66666666666667,0,6,0,0,0,0.166666666666667,10,0,1,0,0,2.33333333333333,0,2,1.36666666666667,0.333333333333333,4.33333333333333,11,15.3333333333333,0,5.33333333333333,0,0.0333333333333333,2.33333333333333,0,0.0333333333333333,4.66666666666667,0,0.166666666666667,0,19.8666666666667,0,1.66666666666667,0,0,0,0,0,0,8.19,19.924,10.005,NA,11.203,0.012,0.00885,8.19,21.76,2.06,5.91,10.45,0.12,9.29,1.08,13.5,15.05,NA,NA,0,0
"RUS-3","RUS","2022-07-07","NT",0.025,0,0,0,0,0,4.25,0,0,0,0.025,9,0,1.5,0,0,0,0,2.5,0,0,3.75,11.5,19.5,0,3.75,0,0,1,0,0,0,0,1,0,40.7,0,1.5,0,0,0,0,0,0,NA,23.76,11.759,267.1,9.202,0.012,0.006,8.4,23.3,2.893,7.15,12.93,0.13,10.61,1.13,14.97,18.1,NA,NA,NA,NA
"RUS-3","RUS","2022-07-20","NT",0.025,0,0,0,1.75,0,3.5,0,0,0,0,1.75,0,1.25,0,0,0.05,0,2.25,0.05,0.25,0,10.5,21,0,4,0,0,1.25,0,0,0,0,0.1,0,52.25,0,0,0.025,0,0,0,0,0,NA,24.68,11.067,266.2,9.796,0.009,0.00245,8.4,19.84,2.171,6.84,12.19,0.13,10.37,1.18,14.77,14.1,NA,NA,0,0
"RUS-3","RUS","2022-08-02","NT",0.05,0,0,0,0,0,1.25,0,0,0,0.025,3.75,0,0.75,0,0,0.025,0,1.25,0.025,0.025,2,17.25,20.5,0,1.5,0,0,1,0,0,0,0,0.25,0,50.35,0,0,0,0,0,0,0,0,8.4,24.27,13.04,255.9,7.386,0.007,0.00721,8.4,20.09,2.391,6.25,11.25,0.1,9.67,1.15,14.35,10.05,NA,NA,0,0
"RUS-3","RUS","2022-08-17","NT",1.25,0,0,0,0,0.25,1.75,0,0,0,0.05,6.5,0,1.5,0,0,0.025,0.025,2.5,0.025,0.025,4.25,15.75,13.75,0,5.75,0,0.025,1.25,0,0.05,2.5,0,0.075,0,33.95,0,8.75,0,0,0,0,0,0,8.53,24.33,10.854,236.8,6.809,0.02,0.00691,8.53,21.42,2.102,6.46,11.24,0.12,9.83,1.11,13.99,13.07,NA,NA,4.89e-05,0.7170717
"RUS-3","RUS","2022-09-01","NT",5.8,0,0,0,0.4,0.02,1,0.02,0,0,0,5,0,0.8,0,0,0.26,0,1,0,0.04,4.2,17,10.2,0,16,0,0.02,2.2,0,0.04,3.2,0,0.02,0,31.98,0,0.8,0,0,0,0,0,0,8.56,22.8,10.743,239.6,8.284,0.011,0.00484,8.56,19.44,2.101,6.38,11.15,0.11,9.81,1.15,14.5,11.28,NA,NA,0.0007276,5.3172086
"RUS-3","RUS","2022-09-15","NT",0,0,0,0,0,0,11.6666666666667,0,0,0,0,4.33333333333333,0,0.333333333333333,0,0,0,0,0.366666666666667,0.0333333333333333,1.03333333333333,2.33333333333333,7.66666666666667,5.66666666666667,0,0,0,0,1,0,1.36666666666667,0.333333333333333,0,0.0333333333333333,0,62.8333333333333,0,1,0,0,0,0,0,0,8.36,20.066,11.202,NA,9.421,0.019,0.007685,8.36,19.33,2.061,6.18,10.55,0.12,9.73,1.13,13.79,14.87,NA,NA,0.0002667,2.1329935
"SAL-1S","SAL","2022-06-27","NT",0.333333333333333,0,0,0,0,0,0.0333333333333333,0,0,0,0.0333333333333333,0.0333333333333333,0,0,0,0,1.36666666666667,0,1.33333333333333,0,0,0,90.1,4.33333333333333,0,0,0,0,2.33333333333333,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,0.0666666666666667,0,NA,19.81,9.442,NA,7.768,0.0145,0.01313,7.72,6.516,2.913,0.52,1.65,0.02,1.02,0.32,1.88,10.58,NA,NA,NA,NA
"SAL-1S","SAL","2022-07-12","NT",0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0.0333333333333333,0,28.4333333333333,0,0,1,0,10.6666666666667,2.66666666666667,34.6666666666667,0,16.6666666666667,3.66666666666667,0,0,0,0,1,0,0,0,0,0.166666666666667,0,0,0,1,0,0,0,0,0,0,NA,20.52,8.904,108.5,6.4415,0.026,0.01409,7.72,11.88,3.565,1.06,3.86,0.005,2.39,0.68,3.43,16.76,0,0,NA,NA
