"site_reach","site","field_date","sample_type","aphanothece","calothrix","chroococcus","e_diatoms","geitlerinema","gloeotrichia","green_algae","homoeothrix","leptolyngbya","lyngbya","microcoleus","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","rivularia","scytonema","tolypothrix","unknown","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","ATXa_ug_g","dhATXa_ug_g","HTXa_ug_g","ATX_all_ug_g","Chla_ug_g","Pheo_ug_g","percent_organic_matter","ATX_all_ug_chla_ug","ATX_all_ug_orgmat_g"
"SFE-M-4","SFE-M","2023-07-24","TAC",0,0.0761614623000762,0,32.7494287890327,16.7555217060168,0,22.0868240670221,0,0,0.0761614623000762,0.0761614623000762,0,15.993907083016,0,0,12.1858339680122,0,0,0,0,0,8.68,26.4,11.14,206,4.008,0.009,0.00077,8.68,10.31,0.705,NA,NA,NA,NA,NA,NA,NA,0.605,0.173,0,0.778,3720.58730089149,709.439139256089,39.037,0.0002091,1.992981
"SFE-M-4","SFE-M","2023-07-31","TAC",0,5.9376837154615,1.17577895355673,37.6249265138154,4.11522633744856,0,14.1093474426808,0,4.11522633744856,0,11.169900058789,0,13.5214579659024,0,0,5.87889476778366,0,2.35155790711346,0,0,0,8.48,25.3,10.61,208,4.472,0.011,0.00459,8.48,11.73,1.055,NA,NA,NA,NA,NA,NA,NA,3.862,1.126,0,4.988,6844.78887067217,958.034483147868,42.4,0.0007287,11.7641509
"SFE-M-4","SFE-M","2023-08-07","TAC",0,0,0,23.4171725932351,15.61144839549,0,16.4787510841284,0,0,0,11.2749349522984,0.0867302688638334,24.2844752818733,0,0.173460537727667,8.67302688638334,0,0,0,0,0,8.52,26.1,10.9,233,4.047,0.01,0.0039,8.52,14.93,0.702,NA,NA,NA,NA,NA,NA,NA,34.248,4.34,0,38.588,5999.30941947503,243.603456684017,43.96,0.0064321,87.7797998
"SFE-M-4","SFE-M","2023-08-14","TAC",0,0,0,22.1105527638191,8.04020100502511,0,32.6130653266332,0,0,0.050251256281407,11.0552763819095,0,12.0603015075377,0,1.00502512562814,9.04522613065326,4.02010050251256,0,0,0,0,8.34,28.9,10.08,244,4.503,0.01,0.00438,8.34,13.37,0.726,NA,NA,NA,NA,NA,NA,NA,21.478,3.604,0,25.082,3591.58676760975,632.793129753085,37.27,0.0069835,67.298095
"SFE-M-4","SFE-M","2023-08-22","TAC",0,0.0734753857457751,0,23.512123438648,8.08229243203526,0,19.1036002939016,0,0,0,5.14327700220426,0,16.8993387215283,0,2.20426157237325,9.55180014695077,15.4298310066128,0,0,0,0,8.32,25.5,10.06,258,4.424,0.028,0.00658,8.32,9.861,0.631,NA,NA,NA,NA,NA,NA,NA,28.817,3.924,0,32.741,3834.14528356005,1074.22261174503,50.21,0.0085393,65.2081259
"SFE-SH-1S","SFE-SH","2023-07-24","TAC",0,0,0,18.2857142857143,6.28571428571429,0,44.4,0,0,0,0.114285714285714,0,19.4285714285715,0,0.0571428571428572,5.71428571428572,0,5.71428571428572,0,0,0,8.04,21.8,7.83,206,3.664,0.008,0.00229,8.04,11.16,0.699,NA,NA,NA,NA,NA,NA,NA,0.165,0,0,0.165,5583.3093128332,479.884311975176,49.63,2.96e-05,0.3324602
"SFE-SH-1S","SFE-SH","2023-07-31","TAC",0,0.0717875089734387,2.15362526920315,31.586503948313,7.89662598707826,0,33.0222541277818,0,0.717875089734387,0,0,0.143575017946877,18.664752333094,0,0,5.74300071787509,0,0,0,0,0,7.93,21.3,7.91,208,3.8695,0.008,0.001635,7.93,13.42,0.7105,NA,NA,NA,NA,NA,NA,NA,0.12,0.096,0,0.216,5531.73845256165,529.671634671853,69.13,3.9e-05,0.3124548
"SFE-SH-1S","SFE-SH","2023-08-07","TAC",0,0,2.85225328009127,34.2270393610952,6.2749572162008,0,33.0861380490588,0,1.71135196805477,0,0.114090131203651,0.0570450656018255,18.8248716486025,0,0,2.85225328009127,0,0,0,0,0,7.91,22.1,7.48,229,3.834,0.01,0.01002,7.91,12.3,0.581,NA,NA,NA,NA,NA,NA,NA,1.587,0.281,0,1.868,5636.66847567547,532.708403720129,53.66,0.0003314,3.4811778
"SFE-SH-1S","SFE-SH","2023-08-14","TAC",0,0,0,27.432712215321,10.351966873706,0,10.351966873706,0,0,0,6.2111801242236,0,15.0103519668737,8.79917184265011,0.10351966873706,17.0807453416149,0,0,0,4.6583850931677,0,7.9,22.7,7.44,236,4.194,0.035,0.00712,7.9,10.17,0.446,NA,NA,NA,NA,NA,NA,NA,10.991,1.395,0.038,12.424,5436.89853364054,598.312506957297,57.34,0.0022851,21.667248
"SFE-SH-1S","SFE-SH","2023-08-22","TAC",0,2.17391304347826,1.30434782608696,21.304347826087,4.34782608695652,0,43.3478260869565,0.0434782608695653,0.869565217391305,0,6.08695652173914,0,14.7826086956521,0,0.0869565217391305,5.65217391304348,0,0,0,0,0,7.88,21.1,7.34,238,5.54,0.038,0.00455,7.88,12.265,0.401,NA,NA,NA,NA,NA,NA,NA,7.41,0.753,0,8.163,4463.84330637056,1498.13377600318,51.8,0.0018287,15.7586873
"SFE-SH-1S","SFE-SH","2023-09-18","TAC",0,0,0.050709939148073,10.1419878296146,7.60649087221095,0,59.2292089249493,0,0.50709939148073,0,6.08519269776876,0,9.63488843813387,0,0.050709939148073,6.59229208924949,0,0,0,0.101419878296146,0,7.97,19.9,8.34,232,4.806,0.03,0.00598,7.97,17.42,0.151,NA,NA,NA,NA,NA,NA,NA,6.064,1.159,0,7.223,5408.80346812355,893.553889686875,62.47,0.0013354,11.5623499
"SFE-SH-1S","SFE-SH","2023-09-24","TAC",0,0,0,10.5890138980807,15.2217074784911,0,31.7670416942422,0,11.2508272667108,0,5.95632031767042,0,13.2362673726009,0,0.0661813368630047,11.9126406353408,0,0,0,0,0,7.95,17.6,8.86,231,4.928,0.024,0.0068,7.95,14.21,0.333,NA,NA,NA,NA,NA,NA,NA,1.031,0.091,0,1.122,6669.77518775126,978.423510038727,66.91,0.0001682,1.6768794
