"site_reach","site","field_date","sample_type","aphanothece","calothrix","chroococcus","e_diatoms","geitlerinema","gloeotrichia","green_algae","homoeothrix","leptolyngbya","lyngbya","microcoleus","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","rivularia","scytonema","tolypothrix","unknown","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","ATXa_ug_g","dhATXa_ug_g","HTXa_ug_g","ATX_all_ug_g","Chla_ug_g","Pheo_ug_g","percent_organic_matter","ATX_all_ug_chla_ug","ATX_all_ug_orgmat_g"
"RUS-3","RUS","2022-09-01","TAC",0,0,0,9.17874396135265,5.31400966183575,0,54.9275362318841,0,0,4.83091787439614,0.144927536231884,0,13.5265700483092,0,1.44927536231884,6.28019323671497,1.44927536231884,0,0,0,2.89855072463768,8.56,22.8,10.743,239.6,8.284,0.011,0.00484,8.56,19.44,2.101,6.38,11.15,0.11,9.81,1.15,14.5,11.28,0.377,0.964,0,1.341,1842.94613041894,653.905526281404,25.22,0.0007276,5.3172086
"RUS-3","RUS","2022-09-15","TAC",0,0,0,6.56565656565657,9.09090909090909,0,39.2929292929293,0,0,0,0.101010101010101,0,18.6868686868687,0,5.05050505050505,11.1111111111111,10.1010101010101,0,0,0,0,8.36,20.066,11.202,NA,9.421,0.019,0.007685,8.36,19.33,2.061,6.18,10.55,0.12,9.73,1.13,13.79,14.87,0.292,0.1683,0,0.4603,1725.72259517701,641.846897710919,21.58,0.0002667,2.1329935
"SAL-3","SAL","2022-09-22","TAC",0,0,0,13.6612021857924,10.3825136612022,0,42.9508196721311,0,0,0,0.163934426229508,0,20.2185792349727,0,0.546448087431694,12.0218579234973,0.0546448087431694,0,0,0,0,8.11,17.33,NA,123.3,5.684,0.0135,0.01223,8.11,9.778,0.48925,1.775,3.455,0.045,2.615,0.69,3.535,13.75,0,0,0,0,2249.71562608797,1155.62040282648,38.501,0,0
"SFE-M-1S","SFE-M","2022-07-14","TAC",0,0,0,21.8009478672985,2.36966824644549,0,51.4218009478673,0,0,0,0.0947867298578199,0.0947867298578199,20.3791469194313,0.04739336492891,0,3.7914691943128,0,0,0,0,0,NA,21.71,9.507,223.3,5.353,0.017,0.00463,8.9,16.17,0.7605,6.04,10.78,0.1,9.37,0.93,9.77,18.02,0.781,0,0,0.781,3234.07962958796,963.076998443193,38.33,0.0002415,2.0375685
"SFE-M-1S","SFE-M","2022-07-28","TAC",0,0,0,22.2222222222222,4.34782608695652,0,57.3429951690821,0,0,0,0.144927536231884,0,14.4927536231884,0,0,1.44927536231884,0,0,0,0,0,8.9,24.49,9.364,216.4,3.901,0.006,0.00291,8.9,16.2,0.751,6.57,11.04,0.11,9.56,0.97,8.87,19.96,4.4737,0.61,0,5.0837,7154.80398129149,1436.09982656204,46.28,0.0007105,10.9846586
"SFE-M-1S","SFE-M","2022-08-10","TAC",0,0,0,11.5606936416185,12.3864574731627,0,28.9017341040462,0,0,0,25.5986787778695,0,12.3864574731627,0,0.0825763831544178,9.08340214698596,0,0,0,0,0,8.55,21.81,8.855,230.6,3.7375,0.0325,0.04816,8.55,16.18,4.512,7.12,10.78,0.3,9.96,1.1,10.26,10.57,72.138,21.935,0,94.073,8522.11664931474,793.773801365911,60.6,0.0110387,155.2359736
"SFE-M-1S","SFE-M","2022-09-06","TAC",0,0,0,11.1650485436893,1.45631067961165,0,43.1553398058252,0,0,0,0.0485436893203883,0,23.7864077669903,11.1650485436893,0,9.22330097087379,0,0,0,0,0,8.17,22.466,7.399,NA,6.473,0.024,0.00868,8.17,16.7,0.6444,7.92,11.66,0.1,10.52,1.11,11.1,15.91,0,0,0,0,2227.16683129192,673.366466376277,45.34,0,0
"SFE-M-1S","SFE-M","2022-09-17","TAC",0,2.24215246636772,0,8.07174887892376,6.2780269058296,0.896860986547085,54.7085201793722,0,0,0,0,0,13.9013452914798,1.79372197309417,2.24215246636772,8.07174887892376,0,0,1.79372197309417,0,0,7.97,19.96,7.813,251.2,5.342,0.023,0.00694,7.97,19.63,0.4319,8.26,11.55,0.09,10.64,1.09,12.03,11.13,0,0,0,0,1736.66133536954,1111.82134046819,45.88,0,0
"SFE-M-1S","SFE-M","2023-07-10","TAC",0,0,0,15.3846153846154,30.7692307692308,0,16.6666666666667,0,0,0,0,0,26.9230769230769,0,0,10.2564102564103,0,0,0,0,0,8.19,21.7,8.15,225,4.3125,0.011,0.00093,8.19,9.296,0.776,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,8228.76703554881,305.541810633056,64.22,0,0
"SFE-M-1S","SFE-M","2023-07-17","TAC",0,0,0,22.1518987341772,11.3924050632911,0,45.506329113924,0,0,0,0.0632911392405063,0,15.1898734177215,0,0,5.69620253164557,0,0,0,0,0,8.5,23.5,9.08,220,4.04,0.01,0.00086,8.5,11.48,0.424,NA,NA,NA,NA,NA,NA,NA,0.0237,0,0,0.0237,8109.27394616608,743.688869252737,54.299,2.9e-06,0.0436472
