"site","site_reach","field_date","sample_type","anabaena_and_cylindrospermum","aphanothece","calothrix","chroococcus","e_diatoms","geitlerinema","gloeotrichia","green_algae","homoeothrix","leptolyngbya","lyngbya","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","rivularia","scytonema","tolypothrix","unknown"
"SFE-M","SFE-M-2","2023-07-24","TM",0.53763440860215,0,0,0,26.8817204301075,10.752688172043,0,16.1290322580645,0,0,0,0,34.9462365591398,0,0,10.752688172043,0,0,0,0,0
"SFE-M","SFE-M-2","2023-07-31","TM",19.7674418604651,0,0,0,25.5813953488372,9.30232558139536,0,15.1162790697674,0,0,0,0,23.2558139534884,0,0,6.97674418604652,0,0,0,0,0
"SFE-M","SFE-M-2","2023-08-07","TM",13.8483965014577,0,0.801749271137026,0.0728862973760934,33.5276967930029,12.3906705539359,0,11.6618075801749,0,0,0,0,20.4081632653061,0,0,7.28862973760933,0,0,0,0,0
"SFE-M","SFE-M-3","2023-07-03","TM",0,0,0,0,9.55414012738853,0.955414012738853,0,44.5859872611465,0,0.318471337579618,0,0,28.6624203821656,0,0,15.9235668789809,0,0,0,0,0
"SFE-M","SFE-M-3","2023-07-10","TM",0,0,0,0,0,0,0,23.5602094240838,0,0,0,0,57.5916230366492,0.523560209424084,0,18.3246073298429,0,0,0,0,0
"SFE-M","SFE-M-3","2023-07-17","TM",0,0,8.51063829787233,0,21.2765957446809,14.8936170212766,0,17.0212765957447,0,0,0,0,27.6595744680851,0,0,10.6382978723404,0,0,0,0,0
"SFE-M","SFE-M-3","2023-07-24","TM",0,0,0,0,17.0212765957447,7.44680851063831,0,43.6170212765957,0,0,0,0,13.8297872340426,0,0,10.6382978723404,0,0,0,0,7.44680851063831
"SFE-M","SFE-M-3","2023-07-31","TM",15.8550396375991,0,0,0.339750849377123,29.445073612684,4.5300113250283,0,20.3850509626274,0,1.13250283125708,0,0,19.2525481313703,0,0,9.06002265005663,0,0,0,0,0
"SFE-M","SFE-M-3","2023-08-07","TM",3.04568527918781,0,3.14720812182741,0.304568527918781,31.4720812182741,11.1675126903553,0,15.2284263959391,0.101522842639594,0,0,0,27.4111675126904,0,0,8.12182741116752,0,0,0,0,0
"SFE-M","SFE-M-4","2023-08-07","TM",19.2644483362522,0,0,0.175131348511384,24.5183887915937,10.507880910683,0,14.0105078809107,0,0,0,0,22.7670753064799,0,0,8.75656742556918,0,0,0,0,0
"SFE-M","SFE-M-4","2023-09-12","TM",0,0,0,0,18.1818181818182,12.7272727272727,0,40,0,0,0,0,21.8181818181818,0,0,7.27272727272728,0,0,0,0,0
"SFE-SH","SFE-SH-1S","2023-07-11","TM",0,0,0,0,17.1821305841924,5.15463917525773,0,22.3367697594502,0,0.171821305841925,0,0,37.8006872852233,0.171821305841925,0,8.59106529209622,0,0,0,8.59106529209622,0
"SFE-SH","SFE-SH-1S","2023-07-17","TM",0,0,4.12903225806451,0,12.9032258064516,7.74193548387096,0,25.8064516129032,0,0,0,0,42.5806451612903,0.258064516129032,0,6.45161290322579,0,0,0,0.129032258064516,0
"SFE-SH","SFE-SH-1S","2023-07-24","TM",10.5263157894737,0,2.10526315789474,0,18.9473684210526,3.15789473684211,0,29.4736842105263,0,0,0,0,23.1578947368421,0,0,12.6315789473684,0,0,0,0,0
"SFE-SH","SFE-SH-1S","2023-07-31","TM",11.6022099447514,0,6.62983425414364,1.6574585635359,16.0220994475138,4.41988950276243,0,23.2044198895028,0,1.6574585635359,5.52486187845303,0,19.3370165745857,4.41988950276243,0,5.52486187845303,0,0,0,0,0
