"site_reach","site","field_date","sample_type","anabaena_and_cylindrospermum","aphanothece","calothrix","chroococcus","e_diatoms","geitlerinema","gloeotrichia","green_algae","homoeothrix","leptolyngbya","lyngbya","microcoleus","nodularia","non_algal","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","rivularia","scytonema","tolypothrix","unknown","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","ATXa_ug_g","dhATXa_ug_g","HTXa_ug_g","ATX_all_ug_g","Chla_ug_g","Pheo_ug_g","percent_organic_matter","ATX_all_ug_chla_ug","ATX_all_ug_orgmat_g"
"SFE-M-2","SFE-M","2023-07-31","TM",5.66666666666667,0,0,0,7.33333333333333,2.66666666666667,0,4.33333333333333,0,0,0,57.6666666666667,0,13.6666666666667,6.66666666666667,0,0,2,0,0,0,0,0,8.33,23.7,8.27,210,3.241,0.01,9e-04,8.33,7.207,0.597,NA,NA,NA,NA,NA,NA,NA,0.081,0,0,0.081,6339.63166954858,537.497561986666,25.68,1.28e-05,0.3154206
"SFE-M-2","SFE-M","2023-08-07","TM",6.33333333333333,0,0.366666666666667,0.0333333333333333,15.3333333333333,5.66666666666667,0,5.33333333333333,0,0,0,32.9333333333333,0,21.3333333333333,9.33333333333333,0,0,3.33333333333333,0,0,0,0,0,8.33,24.1,8.03,234,3.977,0.012,0.00493,8.33,11.58,0.872,NA,NA,NA,NA,NA,NA,NA,2.42,0.338,0,2.758,8051.15767172504,233.251270878279,36.66,0.0003426,7.523186
"SFE-M-3","SFE-M","2023-07-03","TM",0,0,0,0,1,0.1,0,4.66666666666667,0,0.0333333333333333,0,79.8666666666667,0,9.66666666666667,3,0,0,1.66666666666667,0,0,0,0,0,8.39,27.5,8.65,221,5.259,0.017,0.00385,8.39,12.17,0.795,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,6720.41808877024,381.650226240223,67.24,0,0
"SFE-M-3","SFE-M","2023-07-10","TM",0,0,0,0,0,0,0,3,0,0,0,71.6,0,15.6666666666667,7.33333333333333,0.0666666666666667,0,2.33333333333333,0,0,0,0,0,8.21,23.6,8.4,224,4.249,0.012,0.00092,8.21,9.312,0.759,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,6902.44898455466,43.1778752591085,84.93,0,0
"SFE-M-3","SFE-M","2023-07-17","TM",0,0,1.33333333333333,0,3.33333333333333,2.33333333333333,0,2.66666666666667,0,0,0,67,0,17.3333333333333,4.33333333333333,0,0,1.66666666666667,0,0,0,0,0,8.45,25,9.31,219,4.327,0.0115,0.00086,8.45,11.49,0.706,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7730.83146208779,110.432540506316,69.924,0,0
"SFE-M-3","SFE-M","2023-07-24","TM",0,0,0,0,5.33333333333333,2.33333333333333,0,13.6666666666667,0,0,0,50.3333333333333,0,18.3333333333333,4.33333333333333,0,0,3.33333333333333,0,0,0,0,2.33333333333333,8.63,24.5,9.95,209,3.382,0.056,0.00364,8.63,9.382,0.993,NA,NA,NA,NA,NA,NA,NA,0.09,0,0,0.09,5532.10093944223,54.0906592645395,62.766,1.63e-05,0.1433897
"SFE-M-3","SFE-M","2023-07-31","TM",4.66666666666667,0,0,0.1,8.66666666666667,1.33333333333333,0,6,0,0.333333333333333,0,62.2333333333333,0,8.33333333333333,5.66666666666667,0,0,2.66666666666667,0,0,0,0,0,8.39,23.6,9.17,210,4.187,0.013,0.00408,8.39,7.923,0.643,NA,NA,NA,NA,NA,NA,NA,0.268,0.045,0,0.313,9072.42803197186,156.088710044982,77.08,3.45e-05,0.4060716
"SFE-M-3","SFE-M","2023-08-07","TM",1,0,1.03333333333333,0.1,10.3333333333333,3.66666666666667,0,5,0.0333333333333333,0,0,54.1666666666667,0,13,9,0,0,2.66666666666667,0,0,0,0,0,8.23,24.3,8.77,234,4.8325,0.015,0.005995,8.23,11.76,0.8365,NA,NA,NA,NA,NA,NA,NA,1.536,0.352,0,1.888,7889.58980903741,31.197716712036,67.7,0.0002393,2.788774
"SFE-M-4","SFE-M","2023-08-07","TM",3.66666666666667,0,0,0.0333333333333333,4.66666666666667,2,0,2.66666666666667,0,0,0,44.6333333333333,0,36.3333333333333,4.33333333333333,0,0,1.66666666666667,0,0,0,0,0,8.52,26.1,10.9,233,4.047,0.01,0.0039,8.52,14.93,0.702,NA,NA,NA,NA,NA,NA,NA,0.253,0,0,0.253,1136.90319507463,62.7431659276601,9.26,0.0002225,2.7321814
"SFE-M-4","SFE-M","2023-09-12","TM",0,0,0,0,3.33333333333333,2.33333333333333,0,7.33333333333333,0,0,0,69.3333333333333,0,12.3333333333333,4,0,0,1.33333333333333,0,0,0,0,0,8.17,23.1,8.33,252,5.6605,0.011,0.00614,8.17,7.665,0.237,NA,NA,NA,NA,NA,NA,NA,1.157,0.095,0,1.252,10580.9155974954,1362.49578208627,45.56,0.0001183,2.7480246
"SFE-SH-1S","SFE-SH","2023-07-11","TM",0,0,0,0,3.33333333333333,1,0,4.33333333333333,0,0.0333333333333333,0,72.9333333333333,0,7.66666666666667,7.33333333333333,0.0333333333333333,0,1.66666666666667,0,0,0,1.66666666666667,0,7.99,20.2,8.44,199.8,4.134,0.015,0.00096,7.99,10.94,0.463,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,6161.10449260449,292.674385382595,69.12,0,0
"SFE-SH-1S","SFE-SH","2023-07-17","TM",0,0,1.06666666666667,0,3.33333333333333,2,0,6.66666666666667,0,0,0,62.1666666666667,0,12,11,0.0666666666666667,0,1.66666666666667,0,0,0,0.0333333333333333,0,7.97,22.2,7.63,200,4.234,0.013,0.00096,7.97,9.7,0.477,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,9916.96910398525,217.229327386723,65.67,0,0
"SFE-SH-1S","SFE-SH","2023-07-24","TM",3.33333333333333,0,0.666666666666667,0,6,1,0,9.33333333333333,0,0,0,51.6666666666667,0,16.6666666666667,7.33333333333333,0,0,4,0,0,0,0,0,8.04,21.8,7.83,206,3.664,0.008,0.00229,8.04,11.16,0.699,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,5568.80173016165,132.935372801416,63.9,0,0
"SFE-SH-1S","SFE-SH","2023-07-31","TM",7,0,4,1,9.66666666666667,2.66666666666667,0,14,0,1,3.33333333333333,26.3333333333333,0,13.3333333333333,11.6666666666667,2.66666666666667,0,3.33333333333333,0,0,0,0,0,7.93,21.3,7.91,208,3.8695,0.008,0.001635,7.93,13.42,0.7105,NA,NA,NA,NA,NA,NA,NA,0.131,0,0,0.131,4258.22131520163,262.256789379415,68.24,3.08e-05,0.1919695
