"function_groups","kruskal_test"
"cobalamin_B12",0.47366065328197
"nitrification",0.109514450636264
"nitrogen_fixation",0.242414197690103
"phosphatase_transporters",0.47366065328197
"pyridoxal",0.462373662926614
"thiamine",0.47856529734051
