"function_groups","sample_type","site","test","kruskal_test"
NA,NA,NA,NA,NA
"cobalamin_B12","NT","SFE-M","detected",0.468647669555336
"cobalamin_B12","NT","SFE-M","atx_groups",0.468647669555336
"nitrification","NT","SFE-M","detected",0.452224882159835
"nitrification","NT","SFE-M","atx_groups",0.499380474462238
"nitrogen_fixation","NT","SFE-M","detected",0.468647669555336
"nitrogen_fixation","NT","SFE-M","atx_groups",0.468647669555336
"phosphatase_transporters","NT","SFE-M","detected",0.468647669555336
"phosphatase_transporters","NT","SFE-M","atx_groups",0.468647669555336
"pyridoxal","NT","SFE-M","detected",0.468647669555336
"pyridoxal","NT","SFE-M","atx_groups",0.468647669555336
"thiamine","NT","SFE-M","detected",0.468647669555336
"thiamine","NT","SFE-M","atx_groups",0.468647669555336
"cobalamin_B12","NT","RUS","detected",0.468647669555336
"cobalamin_B12","NT","RUS","atx_groups",0.468647669555336
"nitrification","NT","RUS","detected",0.452224882159835
"nitrification","NT","RUS","atx_groups",0.499380474462238
"nitrogen_fixation","NT","RUS","detected",0.468647669555336
"nitrogen_fixation","NT","RUS","atx_groups",0.468647669555336
"phosphatase_transporters","NT","RUS","detected",0.468647669555336
"phosphatase_transporters","NT","RUS","atx_groups",0.468647669555336
"pyridoxal","NT","RUS","detected",0.468647669555336
"pyridoxal","NT","RUS","atx_groups",0.468647669555336
"thiamine","NT","RUS","detected",0.468647669555336
"thiamine","NT","RUS","atx_groups",0.468647669555336
"cobalamin_B12","TAC","SFE-M","detected",0.462373662926614
"cobalamin_B12","TAC","SFE-M","atx_groups",0.462373662926614
"nitrification","TAC","SFE-M","detected",0.459002478129538
"nitrification","TAC","SFE-M","atx_groups",0.43075144049793
"nitrogen_fixation","TAC","SFE-M","detected",0.462373662926614
"nitrogen_fixation","TAC","SFE-M","atx_groups",0.462373662926614
"phosphatase_transporters","TAC","SFE-M","detected",0.462373662926614
"phosphatase_transporters","TAC","SFE-M","atx_groups",0.462373662926614
"pyridoxal","TAC","SFE-M","detected",0.462373662926614
"pyridoxal","TAC","SFE-M","atx_groups",0.462373662926614
"thiamine","TAC","SFE-M","detected",0.462373662926614
"thiamine","TAC","SFE-M","atx_groups",0.462373662926614
"cobalamin_B12","TAC","RUS","detected",0.462373662926614
"cobalamin_B12","TAC","RUS","atx_groups",0.462373662926614
"nitrification","TAC","RUS","detected",0.459002478129538
"nitrification","TAC","RUS","atx_groups",0.43075144049793
"nitrogen_fixation","TAC","RUS","detected",0.462373662926614
"nitrogen_fixation","TAC","RUS","atx_groups",0.462373662926614
"phosphatase_transporters","TAC","RUS","detected",0.462373662926614
"phosphatase_transporters","TAC","RUS","atx_groups",0.462373662926614
"pyridoxal","TAC","RUS","detected",0.462373662926614
"pyridoxal","TAC","RUS","atx_groups",0.462373662926614
"thiamine","TAC","RUS","detected",0.462373662926614
"thiamine","TAC","RUS","atx_groups",0.462373662926614
"cobalamin_B12","TM","SFE-M","detected",0.457929714471852
"cobalamin_B12","TM","SFE-M","atx_groups",0.457929714471852
"nitrification","TM","SFE-M","detected",0.516757172182751
"nitrification","TM","SFE-M","atx_groups",0.517953998136412
"nitrogen_fixation","TM","SFE-M","detected",0.457929714471852
"nitrogen_fixation","TM","SFE-M","atx_groups",0.457929714471852
"phosphatase_transporters","TM","SFE-M","detected",0.457929714471852
"phosphatase_transporters","TM","SFE-M","atx_groups",0.457929714471852
"pyridoxal","TM","SFE-M","detected",0.457929714471852
"pyridoxal","TM","SFE-M","atx_groups",0.457929714471852
"thiamine","TM","SFE-M","detected",0.457929714471852
"thiamine","TM","SFE-M","atx_groups",0.457929714471852
