"function_groups","kruskal_test"
"cobalamin_B12",0.0455667001737744
"nitrification",0.0523709813048368
"nitrogen_fixation",0.00554129696993041
"phosphatase_transporters",0.0215702261009392
"pyridoxal",0.0501447982972315
"thiamine",0.295688655295471
