"s.SAL","s.SFE-M","index","stat","p.value"
0,1,2,0.645112466277003,0.003
0,1,2,0.500720933780723,0.032
1,0,1,0.108445449460933,0.702
1,0,1,0.483413509946817,0.062
0,1,2,0.559546103192974,0.021
0,1,2,0.727688246967259,0.002
0,1,2,0.618388785389917,0.002
0,1,2,0.378080362655679,0.17
0,1,2,0.595184363106383,0.003
1,0,1,0.0742583533721869,1
0,1,2,0.315142054757147,0.218
0,1,2,0.483023351214748,0.072
0,1,2,0.178395167440339,0.55
0,1,2,0.570581183826689,0.019
0,1,2,0.370192108256102,0.136
0,1,2,0.28243319173471,0.272
0,1,2,0.627887883530624,0.008
0,1,2,0.56637575965928,0.017
0,1,2,0.653755967336793,0.001
0,1,2,0.224426866260023,0.446
0,1,2,0.652436778417066,0.002
0,1,2,0.306504753809253,0.27
0,1,2,0.354049030683634,0.407
0,1,2,0.249955139905309,0.627
0,1,2,0.457333719146325,0.124
0,1,2,0.174077655955698,1
0,1,2,0.174077655955698,1
0,1,2,0.239698910217453,0.838
0,1,2,0.174077655955698,1
0,1,2,0.242940559776301,0.818
0,1,2,0.174077655955698,1
