"","s.RUS","s.SAL","s.SFE-M","index","stat","p.value"
"Desulfobacterota  -  Syntrophia",1,0,0,1,0.450064596937906,0.007
"Fibrobacterota  -  Chitinivibrionia",1,0,0,1,0.281982272658121,0.126
"Halobacterota  -  Methanosarcinia",1,0,0,1,0.334789971270434,0.055
"Methylomirabilota  -  Methylomirabilia",1,0,0,1,0.375692902904504,0.022
"Myxococcota  -  NA",1,0,0,1,0.359140350546122,0.051
"Nitrospirota  -  Thermodesulfovibrionia",1,0,0,1,0.289808028857265,0.089
"Patescibacteria  -  Berkelbacteria",1,1,0,4,0.197562172790664,0.347
"Patescibacteria  -  Microgenomatia",1,0,1,5,0.258479546584024,0.233
"Patescibacteria  -  NA",1,0,0,1,0.132852897715586,0.658
"Patescibacteria  -  Saccharimonadia",1,1,0,4,0.178039570902693,0.49
"Spirochaetota  -  Spirochaetota",1,0,0,1,0.2,0.548
"Armatimonadota  -  NA",1,0,0,1,0.306235608019821,0.118
"Nitrospirota  -  NA",1,0,1,5,0.151916258815239,0.875
"Desulfobacterota  -  Syntrophorhabdia",1,0,0,1,0.298500037664745,0.133
"Deferribacterota  -  Deferribacteres",0,0,1,3,0.272351346296035,0.182
"Thermoplasmatota  -  Thermoplasmata",1,0,0,1,0.285476847753789,0.139
"Firmicutes  -  Limnochordia",1,0,0,1,0.2,0.558
"Chloroflexiota  -  Dehalococcoidia",1,0,1,5,0.134587320253439,1
"Cloacimonadota  -  Cloacimonadia",1,0,0,1,0.2,0.564
"Desulfobacterota  -  Defferrisomatia",1,1,0,4,0.187194652964841,0.434
"Modulibacteria  -  Moduliflexia",1,0,0,1,0.2,0.564
"Spirochaetota  -  Brevinematia",1,0,1,5,0.162185529459819,0.728
"Entotheonellaeota  -  Entotheonellia",1,0,0,1,0.2,0.57
"Chloroflexiota  -  Ktedonobacteria",0,1,0,2,0.262612865719445,0.247
"Firmicutes  -  Incertae_Sedis",0,0,1,3,0.221016810347741,0.295
"Firestonebacteria  -  Firestonebacteria",0,1,0,2,0.262612865719445,0.201
"Crenarchaeota  -  Nitrososphaeria",0,0,1,3,0.179605302026775,1
"Proteobacteria  -  NA",0,0,1,3,0.250769999374392,0.368
"Synergistota  -  Synergistia",0,0,1,3,0.179605302026775,1
"Acidobacteriota  -  Aminicenantia",0,0,1,3,0.179605302026775,1
"Halobacterota  -  Methanomicrobia",0,0,1,3,0.179605302026775,1
"Desulfobacterota  -  Desulfarculia",0,0,1,3,0.179605302026775,1
