"","s.n","s.y","index","stat","p.value"
"e_diatoms",1,0,1,0.142726698043099,0.606
"gloeotrichia",NA,NA,NA,NA,NA
"leptolyngbya_and_geitlerinema",1,0,1,0.330175311909385,0.215
"microcoleus",0,1,2,0.421199278020092,0.111
"miscellaneous_oscillatoriales",0,1,2,0.277350098112615,0.438
"nodularia",NA,NA,NA,NA,NA
"non_e_diatoms",1,0,1,0.278692698096777,0.308
"nostoc",1,0,1,0.208967109665779,1
"oscillatoria",0,1,2,0.371771121112088,0.184
"other_coccoids",0,1,2,0.0815368750920237,0.764
"phormidium_unknown",0,1,2,0.516378676782563,0.069
"scytonema",NA,NA,NA,NA,NA
"unknown",0,1,2,0.405351123405759,0.187
