"","s.n","s.y","index","stat","p.value"
"calothrix",1,0,1,0.577350269189626,0.159
"e_diatoms",0,1,2,0.788069415597517,0.051
"gloeotrichia",1,0,1,0.577350269189626,0.159
"leptolyngbya_and_geitlerinema",0,1,2,0.410198254075769,0.354
"microcoleus",0,1,2,0.573804329414216,0.076
"miscellaneous_oscillatoriales",0,1,2,0.229415733870562,1
"nodularia",0,1,2,0.498552552523029,0.522
"non_e_diatoms",1,0,1,0.361998278098619,0.408
"nostoc",1,0,1,0.854761097005527,0.009
"oscillatoria",1,0,1,0.526756959987716,0.159
"other_coccoids",1,0,1,0.336600824464044,0.442
"phormidium_unknown",NA,NA,NA,NA,NA
"scytonema",1,0,1,0.577350269189626,0.159
"unknown",0,1,2,0.229415733870562,1
