"","s.high","s.low","index","stat","p.value"
"calothrix",NA,NA,NA,NA,NA
"e_diatoms",0,1,2,0.330068183531413,0.373
"gloeotrichia",NA,NA,NA,NA,NA
"leptolyngbya_and_geitlerinema",1,0,1,0.580514339593799,0.082
"microcoleus",1,0,1,0.627813041864015,0.04
"miscellaneous_oscillatoriales",0,1,2,0.333333333333333,1
"nodularia",0,1,2,0.813349568495954,0.046
"non_e_diatoms",0,1,2,0.641787330814639,0.034
"nostoc",0,1,2,0.054782569522,1
"oscillatoria",1,0,1,0.622755753186552,0.163
"other_coccoids",0,1,2,0.215321631140721,0.577
"phormidium_unknown",NA,NA,NA,NA,NA
"scytonema",NA,NA,NA,NA,NA
"unknown",0,1,2,0.333333333333333,1
