"","s.n","s.y","index","stat","p.value"
"anabaena_and_cylindrospermum",0,1,2,0.712970028526449,0.021
"ankistrodesmus",0,1,2,0.535759064319592,0.226
"aphanothece",0,1,2,0.42854747053581,0.356
"calothrix",0,1,2,0.537288020965879,0.06
"chantransia",NA,NA,NA,NA,NA
"chroococcus",0,1,2,0.400183438214993,0.271
"cladophora",1,0,1,0.109577231687542,0.781
"closterium",NA,NA,NA,NA,NA
"coelastrum",1,0,1,0.186435001888859,0.593
"cosmarium",0,1,2,0.500012501746896,0.141
"desmid",0,1,2,0.185695338177052,1
"desmodesmus_spines",0,1,2,0.307763222028025,0.428
"epithemia",0,1,2,0.758007720369623,0.011
"euglenoid",0,1,2,0.185695338177052,1
"gloeocystis",0,1,2,0.267249689818516,1
"gloeotrichia",0,1,2,0.185695338177052,1
"lacunastrum",0,1,2,0.390927615651679,0.577
"leptolyngbya_and_geitlerinema",0,1,2,0.573404731855686,0.069
"microcoleus",1,0,1,0.2957900746219,0.402
"microcystis",0,1,2,0.185695338177052,1
"miscellaneous_oscillatoriales",1,0,1,0.384778546147591,0.407
"mougeotia",0,1,2,0.0351193821152123,0.934
"nodularia",0,1,2,0.185695338177052,1
"non_e_r_diatoms",0,1,2,0.0166259737581975,0.982
"nostoc",1,0,1,0.476430844753987,0.206
"oedogonium",0,1,2,0.572183677051515,0.095
"oocystis",0,1,2,0.22652178322211,0.841
"oscillatoria",0,1,2,0.185695338177052,1
"other_coccoids",0,1,2,0.1659679543446,0.656
"pediastrum",0,1,2,0.185695338177052,1
"phormidium_unknown",NA,NA,NA,NA,NA
"rhopalodia",0,1,2,0.800501389392651,0.008
"rivularia_or_early_stage_gloeotrichia",0,1,2,0.338049635828072,0.532
"scenedesmus_no_spines",0,1,2,0.0913586700420093,0.771
"scytonema",0,1,2,0.185695338177052,1
"spirogyra",0,1,2,0.58173830744857,0.064
"stauridium",0,1,2,0.607353903855257,0.096
"stigeoclonium",0,1,2,0.346085950386269,0.458
"tetraedron",0,1,2,0.476098516718399,0.334
"tolypothrix",NA,NA,NA,NA,NA
"ulothrix",NA,NA,NA,NA,NA
"unknown",1,0,1,0.0511010878224494,0.908
"unknown_green_algae",NA,NA,NA,NA,NA
"zygnema",0,1,2,0.320590806530566,0.755
