"field_date","site_reach","site","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","TM_ATXa_ug_g","TAC_ATXa_ug_g","TM_dhATXa_ug_g","TAC_dhATXa_ug_g","TM_HTXa_ug_g","TAC_HTXa_ug_g","TM_ATX_all_ug_g","TAC_ATX_all_ug_g","TM_Chla_ug_g","TAC_Chla_ug_g","TM_Pheo_ug_g","TAC_Pheo_ug_g","TM_percent_organic_matter","TAC_percent_organic_matter","TM_ATX_all_ug_chla_ug","TAC_ATX_all_ug_chla_ug","TM_ATX_all_ug_orgmat_g","TAC_ATX_all_ug_orgmat_g"
"2023-07-31","SFE-M-3","SFE-M",8.39,23.6,9.17,210,4.187,0.013,0.00408,8.39,7.923,0.643,NA,NA,NA,NA,NA,NA,NA,0.268,0.588,0.045,0.175,0,0,0.313,0.763,9072.42803197186,4580.97755300251,156.088710044982,569.595576901292,77.08,41.85,3.45e-05,0.0001666,0.4060716,1.823178
"2023-07-31","SFE-M-4","SFE-M",8.48,25.3,10.61,208,4.472,0.011,0.00459,8.48,11.73,1.055,NA,NA,NA,NA,NA,NA,NA,NA,3.862,NA,1.126,NA,0,NA,4.988,NA,6844.78887067217,NA,958.034483147868,NA,42.4,NA,0.0007287,NA,11.7641509
"2023-08-07","SFE-SH-1S","SFE-SH",7.91,22.1,7.48,229,3.834,0.01,0.01002,7.91,12.3,0.581,NA,NA,NA,NA,NA,NA,NA,NA,1.587,NA,0.281,NA,0,NA,1.868,NA,5636.66847567547,NA,532.708403720129,NA,53.66,NA,0.0003314,NA,3.4811778
"2023-08-07","SFE-M-1S","SFE-M",8.25,23.4,7.55,235,3.991,0.017,0.00605,8.25,9.754,0.554,NA,NA,NA,NA,NA,NA,NA,0.2943,11.1603,0.07,1.2357,0,0,0.3643,12.396,9269.0080399987,3575.6768049571,119.892172999028,348.22069543045,69.024,38.65,3.93e-05,0.0034668,0.5277874,32.072445
"2023-08-07","SFE-M-2","SFE-M",8.33,24.1,8.03,234,3.977,0.012,0.00493,8.33,11.58,0.872,NA,NA,NA,NA,NA,NA,NA,2.42,1.144,0.338,0.088,0,0,2.758,1.232,8051.15767172504,1685.68029733087,233.251270878279,96.5166503430095,36.66,13.1,0.0003426,0.0007309,7.523186,9.4045802
"2023-08-07","SFE-M-3","SFE-M",8.23,24.3,8.77,234,4.8325,0.015,0.005995,8.23,11.76,0.8365,NA,NA,NA,NA,NA,NA,NA,1.536,4.13,0.352,0.683,0,0,1.888,4.813,7889.58980903741,3564.79780752344,31.197716712036,384.769887305765,67.7,45.08,0.0002393,0.0013501,2.788774,10.676575
"2023-08-07","SFE-M-4","SFE-M",8.52,26.1,10.9,233,4.047,0.01,0.0039,8.52,14.93,0.702,NA,NA,NA,NA,NA,NA,NA,0.253,34.248,0,4.34,0,0,0.253,38.588,1136.90319507463,5999.30941947503,62.7431659276601,243.603456684017,9.26,43.96,0.0002225,0.0064321,2.7321814,87.7797998
"2023-08-10","SAL-1S","SAL",7.9,20.6,8.66,127.4,6.826,0.011,0.00339,7.9,6.123,0.543,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1698.05103469658,NA,43.8780745620338,NA,29.065,NA,0,NA,0,NA
"2023-08-10","SAL-2","SAL",7.92,20.9,8.32,126.6,5.906,0.011,0.00097,7.92,7.558,0.614,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,2926.28301775293,NA,170.506296382604,NA,32.47,NA,0,NA,0,NA
"2023-08-10","SAL-3","SAL",7.75,22,8.33,127.8,6.048,0.011,0.004485,7.75,8.488,0.437,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,3410.33337629206,NA,157.533226296908,NA,39.08,NA,0,NA,0,NA
"2023-08-14","SFE-SH-1S","SFE-SH",7.9,22.7,7.44,236,4.194,0.035,0.00712,7.9,10.17,0.446,NA,NA,NA,NA,NA,NA,NA,0,10.991,0,1.395,0,0.038,0,12.424,13416.9863558644,5436.89853364054,339.210596435536,598.312506957297,75.28,57.34,0,0.0022851,0,21.667248
"2023-08-14","SFE-M-1S","SFE-M",8.14,25.6,7.48,249,4.712,0.0305,0.00619,8.14,9.137,0.769,NA,NA,NA,NA,NA,NA,NA,0.964,53.561,0.099,7.018,0,0,1.063,60.579,8783.80585464611,5609.08642651145,556.083473085505,830.855748335978,74.93,51.31,0.000121,0.0108002,1.4186574,118.0647047
"2023-08-14","SFE-M-2","SFE-M",8.15,26.6,7.75,248,3.97,0.011,0.00348,8.15,10.07,0.714,NA,NA,NA,NA,NA,NA,NA,1.643,45.657,0.289,5.695,0,0,1.932,51.352,19844.6373967772,3755.75953158364,1520.03277413342,129.204177042087,59.08,29.08,9.74e-05,0.0136729,3.2701422,176.5887208
"2023-08-14","SFE-M-3","SFE-M",8.18,27.2,7.82,246,4.7255,0.019,0.005585,8.18,12.365,0.8565,NA,NA,NA,NA,NA,NA,NA,5.499,21.7983,1.1477,3.049,0,0,6.6467,24.8473,9464.3192393985,6892.18324177824,220.25107639938,879.039765130655,75.062,56.784,0.0007023,0.0036051,8.8549466,43.7575726
"2023-08-14","SFE-M-4","SFE-M",8.34,28.9,10.08,244,4.503,0.01,0.00438,8.34,13.37,0.726,NA,NA,NA,NA,NA,NA,NA,NA,21.478,NA,3.604,NA,0,NA,25.082,NA,3591.58676760975,NA,632.793129753085,NA,37.27,NA,0.0069835,NA,67.298095
"2023-08-22","SFE-SH-1S","SFE-SH",7.88,21.1,7.34,238,5.54,0.038,0.00455,7.88,12.265,0.401,NA,NA,NA,NA,NA,NA,NA,1.421,7.41,0.29,0.753,0,0,1.711,8.163,19096.4291911836,4463.84330637056,2006.1779813486,1498.13377600318,77.43,51.8,8.96e-05,0.0018287,2.2097378,15.7586873
"2023-08-22","SFE-M-1S","SFE-M",7.9,23.1,6.94,262,6.351,0.036,0.00947,7.9,13.66,0.598,NA,NA,NA,NA,NA,NA,NA,3.252,20.565,0.582,3.215,0,0,3.834,23.78,13362.6865126904,3818.7901385011,816.857147112983,510.96252696693,68.17,37.63,0.0002869,0.0062271,5.6241749,63.1942599
"2023-08-22","SFE-M-2","SFE-M",8.08,23.1,7.4,262,5.972,0.037,0.01886,8.08,11.3,1.394,NA,NA,NA,NA,NA,NA,NA,14.72,5.981,2.57,0.942,0,0,17.29,6.923,15312.4366626218,2857.74157186741,182.690997234571,269.858350441835,55.95,19.93,0.0011291,0.0024225,30.9025916,34.736578
"2023-08-22","SFE-M-3","SFE-M",8.02,23.5,7.94,262,4.687,0.026,0.00095,8.02,10.49,0.66,NA,NA,NA,NA,NA,NA,NA,6.2913,13.9683,1.071,3.126,0,0,7.3623,17.0943,14462.814046783,5182.57956257919,144.562586524285,565.309486831045,75.979,43.417,0.0005091,0.0032984,9.6899143,39.3723657
"2023-08-22","SFE-M-4","SFE-M",8.32,25.5,10.06,258,4.424,0.028,0.00658,8.32,9.861,0.631,NA,NA,NA,NA,NA,NA,NA,83.438,28.817,15.628,3.924,0,0,99.066,32.741,6849.34974285411,3834.14528356005,781.143234167769,1074.22261174503,39.57,50.21,0.0144636,0.0085393,250.3563306,65.2081259
"2023-08-28","SFE-SH-1S","SFE-SH",7.98,20.6,8.47,240,4.853,0.031,0.00394,7.98,10.97,0.532,NA,NA,NA,NA,NA,NA,NA,5.8297,NA,1.3563,NA,0,NA,7.186,NA,13563.5726001237,NA,489.229098535249,NA,75.803,NA,0.0005298,NA,9.4798359,NA
"2023-08-28","SFE-M-1S","SFE-M",8.02,22.9,7.32,261,5.3075,0.0285,0.00756,8.02,14.925,0.8515,NA,NA,NA,NA,NA,NA,NA,4.352,10.67,0.966,1.928,0,0,5.318,12.598,13907.5985179894,5188.28215676862,19.9540047173045,1178.74974521578,73.43,37.63,0.0003824,0.0024282,7.2422716,33.4786075
"2023-08-28","SFE-M-2","SFE-M",8.1,22.5,7.93,260,6.354,0.024,0.00566,8.1,12.65,0.65,NA,NA,NA,NA,NA,NA,NA,14.081,NA,2.529,NA,0,NA,16.61,NA,12178.063706543,NA,599.207625748467,NA,47.56,NA,0.0013639,NA,34.9243061,NA
"2023-08-28","SFE-M-3","SFE-M",8.12,23.3,8.09,259,4.956,0.025,0.00515,8.12,12.11,1.091,NA,NA,NA,NA,NA,NA,NA,17.336,0.463,3.198,0.153,0,0,20.534,0.616,8164.37586947744,2862.46508679674,2572.67470652272,394.472416101105,79.31,38.11,0.0025151,0.0002152,25.8908082,1.6163737
"2023-08-28","SFE-M-4","SFE-M",8.16,24.6,9.65,257,5.268,0.021,0.005,8.16,15.51,0.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-09-04","SFE-SH-1S","SFE-SH",8.02,19.7,8.46,235,4.881,0.022,0.008355,8.02,11.74,0.378,NA,NA,NA,NA,NA,NA,NA,7.714,NA,1.961,NA,0,NA,9.675,NA,13816.2247697288,NA,399.439321318414,NA,80.37,NA,0.0007003,NA,12.0380739,NA
"2023-09-04","SFE-M-1S","SFE-M",7.96,21.5,8.06,259,5.189,0.025,0.00701,7.96,10.59,0.457,NA,NA,NA,NA,NA,NA,NA,18.1193,2.615,3.1097,0.298,0,0,21.229,2.913,14746.2908191145,5366.35985128895,520.042510389661,762.26579660674,75.698,44.663,0.0014396,0.0005428,28.0443341,6.5221772
"2023-09-04","SFE-M-2","SFE-M",8.06,22.1,7.82,259,5.232,0.034,0.00693,8.06,9.429,0.389,NA,NA,NA,NA,NA,NA,NA,16,0.013,2.032,0,0,0,18.032,0.013,14585.050814037,1544.58503114521,1601.57992360969,41.8749137901605,43.82,14.23,0.0012363,8.4e-06,41.1501597,0.0913563
"2023-09-04","SFE-M-3","SFE-M",7.97,22.8,7.96,259,4.77,0.027,0.00631,7.97,12.1,0.431,NA,NA,NA,NA,NA,NA,NA,22.963,NA,2.867,NA,0,NA,25.83,NA,13876.8921912851,NA,6.90021500801954,NA,73.18,NA,0.0018614,NA,35.2965291,NA
"2023-09-04","SFE-M-4","SFE-M",8.25,23.8,9.09,258,4.8825,0.0145,0.004525,8.25,12.57,0.549,NA,NA,NA,NA,NA,NA,NA,1.699,NA,0.238,NA,0,NA,1.937,NA,5482.53293535525,NA,26.0159812097594,NA,33.67,NA,0.0003533,NA,5.7528958,NA
"2023-09-12","SFE-SH-1S","SFE-SH",7.98,19.3,8.37,232,4.225,0.021,0.00096,7.98,13.03,0.331,NA,NA,NA,NA,NA,NA,NA,4.583,NA,0.561,NA,0,NA,5.144,NA,4588.12796822413,NA,6374.05012687974,NA,76.93,NA,0.0011212,NA,6.6865982,NA
"2023-09-12","SFE-M-1S","SFE-M",7.94,21.4,7.17,255,5.151,0.028,0.007655,7.94,13.54,0.489,NA,NA,NA,NA,NA,NA,NA,11.952,0.027,1.078,0,0,0,13.03,0.027,9276.3763651215,3392.94145744772,1040.57139975383,192.950213877402,75.83,29.97,0.0014046,8e-06,17.1831729,0.0900901
"2023-09-12","SFE-M-2","SFE-M",8.18,22.1,8.46,253,6.14,0.016,0.00728,8.18,15.69,0.605,NA,NA,NA,NA,NA,NA,NA,8.982,NA,0.915,NA,0,NA,9.897,NA,14234.0616867688,NA,1520.56725497976,NA,61.318,NA,0.0006953,NA,16.1404482,NA
"2023-09-12","SFE-M-3","SFE-M",8.13,21.3,7.8,255,5.763,0.0215,0.00094,8.13,12.15,0.556,NA,NA,NA,NA,NA,NA,NA,18.323,NA,1.667,NA,0,NA,19.99,NA,22668.334553092,NA,1510.87920403518,NA,72.85,NA,0.0008818,NA,27.4399451,NA
"2023-09-12","SFE-M-4","SFE-M",8.17,23.1,8.33,252,5.6605,0.011,0.00614,8.17,7.665,0.237,NA,NA,NA,NA,NA,NA,NA,1.157,NA,0.095,NA,0,NA,1.252,NA,10580.9155974954,NA,1362.49578208627,NA,45.56,NA,0.0001183,NA,2.7480246,NA
"2023-09-18","SFE-SH-1S","SFE-SH",7.97,19.9,8.34,232,4.806,0.03,0.00598,7.97,17.42,0.151,NA,NA,NA,NA,NA,NA,NA,7.295,6.064,1.009,1.159,0,0,8.304,7.223,14109.5956538144,5408.80346812355,1550.59921403266,893.553889686875,79.33,62.47,0.0005885,0.0013354,10.4676667,11.5623499
"2023-09-18","SFE-M-1S","SFE-M",7.91,21.9,7.07,257,6.953,0.028,0.01542,7.91,13.49,0.401,NA,NA,NA,NA,NA,NA,NA,36.812,0,4.958,0,0,0,41.77,0,14594.0611577872,3411.62120500362,861.056883054194,176.419128622379,75.44,30.88,0.0028621,0,55.3685048,0
"2023-09-18","SFE-M-2","SFE-M",8.07,22.5,7.93,256,5.661,0.027,0.00757,8.07,12.37,0.431,NA,NA,NA,NA,NA,NA,NA,5.437,0,0.458,0,0,0,5.895,0,14676.1069846081,2641.1882431706,324.888771102825,93.8597328788028,54.7,15.13,0.0004017,0,10.7769653,0
"2023-09-18","SFE-M-3","SFE-M",8.08,23.1,7.79,255,5.2865,0.0235,0.00646,8.08,12.14,0.531,NA,NA,NA,NA,NA,NA,NA,11.662,0,1.148,0,0,0,12.81,0,13353.8611958437,1787.86892097088,153.574957669004,150.514248476122,74.01,26.263,0.0009593,0,17.3084718,0
"2023-09-18","SFE-M-4","SFE-M",8.04,24.6,8.67,253,5.092,0.024,0.01027,8.04,15.9,0.496,NA,NA,NA,NA,NA,NA,NA,0.7077,NA,0.062,NA,0,NA,0.7697,NA,7804.90660170228,NA,11384.2712631544,NA,50.013,NA,9.86e-05,NA,1.5389999,NA
"2023-09-24","SFE-SH-1S","SFE-SH",7.95,17.6,8.86,231,4.928,0.024,0.0068,7.95,14.21,0.333,NA,NA,NA,NA,NA,NA,NA,6.946,1.031,0.705,0.091,0,0,7.651,1.122,10386.2485627078,6669.77518775126,1911.70752016521,978.423510038727,81.26,66.91,0.0007366,0.0001682,9.4154566,1.6768794
"2023-09-24","SFE-M-1S","SFE-M",7.94,19.2,8.08,254,5.085,0.035,0.00687,7.94,13.1,0.467,NA,NA,NA,NA,NA,NA,NA,11.87,0,1.375,0,0,0,13.245,0,14913.5557274794,3120.76779741245,264.967756077211,170.879367154504,78.67,42.34,0.0008881,0,16.836151,0
"2023-09-24","SFE-M-2","SFE-M",8.1,19.1,8.83,252,4.8365,0.027,0.00788,8.1,10.2385,0.6965,NA,NA,NA,NA,NA,NA,NA,2.7717,0,0.2957,0,0,0.0093,3.0674,0.0093,12954.6774501749,2450.89043744022,1524.58186935969,135.915073465159,57.635,24.345,0.0002368,3.8e-06,5.3221133,0.0382009
"2023-09-24","SFE-M-3","SFE-M",8.15,19.2,8.82,252,5.603,0.027,0.007165,8.15,13.41,0.496,NA,NA,NA,NA,NA,NA,NA,5.312,NA,0.326,NA,0,NA,5.638,NA,16078.2346405876,NA,34.0615809131934,NA,75.71,NA,0.0003507,NA,7.4468366,NA
"2023-09-24","SFE-M-4","SFE-M",8.25,19.7,9.57,250,5.211,0.0235,0.00794,8.25,12.65,0.505,NA,NA,NA,NA,NA,NA,NA,0.101,NA,0,NA,0,NA,0.101,NA,15267.9287519338,NA,944.387266927392,NA,60.52,NA,6.6e-06,NA,0.166887,NA
