"field_date","site_reach","site","TM_atx_category","TAC_atx_category","NT_atx_category","TM_atx_detected","TAC_atx_detected","NT_atx_detected","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","DIN_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","TM_ATX_all_ug_orgmat_g","TAC_ATX_all_ug_orgmat_g","mean_ATX_all_ug_orgmat_g"
"2022-06-24","RUS-1S","RUS",NA,NA,NA,NA,NA,NA,1.31419902815363,-0.67331501346606,NA,-2.13288385567103,1.00843858323764,-0.857128501303119,-0.21867478785182,-1.03530670097549,-1.44356552177716,1.40174796038167,1.94822092885371,2.54490523023284,-0.13291555207098,1.76194515111076,1.60015595056919,2.13761178287863,-0.916527015492841,NA,NA,NA
"2022-06-27","SAL-1S","SAL",NA,NA,NA,NA,NA,NA,-0.198322720866619,1.10959544460199,NA,1.14495089701113,-0.258607614161946,1.02541481239814,0.0793073158653096,-1.17125191327699,-1.68843567693112,1.23560434648505,-1.71100312071889,-2.59199181774721,-0.907222105138509,-2.52314012372855,-2.48646028362014,-2.37967852975598,-1.90462318991317,NA,NA,NA
"2022-06-27","SAL-3","SAL",NA,NA,NA,NA,NA,NA,0.141140426062971,1.28256433697955,NA,1.17067429172442,1.92452177980983,-0.978460028425356,1.39047955987309,0.285174378884831,-0.368519990896958,1.04124852938391,-0.89409928923917,-0.116303295242113,1.13984315773813,-0.406194799537418,-0.347633072828409,-0.662467277837871,0.957848290276101,NA,NA,NA
"2022-06-29","SFE-M-1S","SFE-M","none",NA,"none","none",NA,"none",-1.40119727600546,-1.18121748964065,NA,0.77750675723703,-0.792324753512639,-0.270631167080133,-0.494323522070017,0.552659257895077,0.141883633373678,1.94016622196804,-1.18423410206401,-0.649956917422603,-0.421972114415668,-0.767032545508502,-0.789704994872262,-0.19390412979935,-1.72147369016001,-1.07454925812631,NA,-1.6836809582888
"2022-06-29","SFE-M-3","SFE-M","none",NA,"none","none",NA,"none",-0.142775113814344,0.0270034273195571,NA,0.787379219300937,-0.792324753512639,-0.232625006817926,-0.466896110851725,0.487640521672128,-1.21912240706954,0.00325880607479127,-0.945356005318335,0.152718353842079,-1.5855921875013,-0.342347859294756,-0.585387070120917,-0.218070223127458,0.648629034427941,-1.07454925812631,NA,-1.6836809582888
"2022-06-29","SFE-M-4","SFE-M","none",NA,"none","none",NA,"none",0.56147949071463,0.315648170694829,NA,1.91189966010398,-0.537323683416617,-0.424656132353286,-0.509240184311544,1.33288409257048,0.887296172447196,1.16651376153481,-0.851511038739678,0.102099192591154,0.115083303931546,-0.258927653074197,-0.449175120286686,-0.0972397564869139,0.345867525093481,-1.07454925812631,NA,-1.6836809582888
"2022-07-06","RUS-1S","RUS",NA,NA,NA,NA,NA,NA,-0.657873411386886,-0.570441612518217,0.832221227024646,1.44885068556685,-1.04904684833446,-0.291983722892062,-0.696729143592598,-1.03530670097549,1.57863738296389,3.20646891388352,-1.68175458245566,-1.17827798095118,-1.39561329674529,-2.36337313245109,-2.52766148849702,-2.07035001534369,-0.729038516595066,NA,NA,NA
"2022-07-06","RUS-2","RUS",NA,NA,NA,NA,NA,NA,0.172472878945964,-0.438859355491904,0.923159308123362,-1.08127336804415,-0.663268329914689,-0.390589712875241,-0.601348106269318,0.0344059628722949,0.411693274949246,-0.0917421805371168,1.27954122940199,1.25712186071743,0.498433320266176,1.01938786006962,0.647582695400062,1.22328921931427,-0.341834008001836,NA,NA,NA
"2022-07-07","RUS-3","RUS",NA,NA,NA,NA,NA,NA,0.70297189776973,1.48543146998986,0.914892209841663,0.332879982807275,-0.0203041325484086,-0.346437777061877,-0.279580751443794,0.925833182745454,1.05442420944169,1.19077942299314,1.27954122940199,1.21331970529173,1.12978219260333,0.99188573817921,0.0125338586206452,0.599887471429485,1.89172463104122,NA,NA,NA
"2022-07-12","SAL-1S","SAL","none",NA,"none","none",NA,"none",0.156116741368688,-0.751549837380461,-1.63687723094103,-0.118829958069463,1.2629674180002,1.39822873627228,1.51997805310843,-1.17125191327699,1.19196617005312,1.79880431426258,-0.550139781247708,0.464584514507685,-1.67487157871725,-0.145914636727034,-0.153194235483705,-0.104740546445665,1.2319147085921,-0.408248290463863,NA,-0.377964473009227
"2022-07-12","SAL-2","SAL","none",NA,"none","none",NA,"none",0.715232512782131,0.172104047915662,-1.30060571284554,-0.729998762090723,0.998345673276351,-0.0891434808505871,0.845892146356632,1.18143671252288,-1.2421989254688,-0.596868677507681,-0.485647373499308,0.284785906727986,0.628076842018968,0.0102534609591969,0.170870493424133,-0.0166784309626854,0.0138417382987876,-0.408248290463863,NA,-0.377964473009227
"2022-07-12","SAL-3","SAL","none",NA,"none","none",NA,"none",1.18948249746318,-0.118483691278623,-0.868256618151331,0.382299879678289,0.336791311466721,1.26230699319317,0.670144191251533,0.285174378884831,0.569060476074424,0.714730756653986,-0.442652435000376,0.160309947495886,0.628076842018968,-0.0244505607488544,0.235683439205701,0.115414742261784,-0.503839274075868,-0.408248290463863,NA,-0.377964473009227
