"field_date","site_reach","site","TM_atx_category","TAC_atx_category","NT_atx_category","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","DIN_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","TM_ATX_all_ug_orgmat_g","TAC_ATX_all_ug_orgmat_g","mean_ATX_all_ug_orgmat_g"
"2022-06-24","RUS-1S","RUS",NA,NA,NA,24.82,-0.580833301322255,NA,-0.791003573180663,0.125549764458839,-0.718281015581703,-0.44023124279371,-0.858016163710395,0.175570550834103,1.266573113361,0.850247041063478,1.48438075332892,0.459376128363651,0.950456732136071,1.2345361669705,1.48101247467238,-1.14417046895922,NA,NA,NA
"2022-06-27","SAL-1S","SAL",NA,NA,NA,19.81,-0.235553716655124,NA,0.518133318715073,-0.0927356214752785,0.293385022387342,0.160993857715554,-1.7712891823288,-2.2014226584577,1.18877079736007,-2.10091268668396,-2.31570848674684,-1.45747517089922,-2.25331957437065,-3.30546569587425,-1.99102166072264,-1.36747918372101,NA,NA,NA
"2022-06-27","SAL-3","SAL",NA,NA,NA,20.49,-0.191287103236261,NA,0.531024163383631,2.30840362380001,-0.199086369680608,0.910212829119407,-0.753642104439723,-1.68455700838346,0.972653252913036,-1.94024783044556,-1.78428975707999,-0.605541260115722,-1.86823513161812,-1.65909139396352,-1.71221040894418,0.631665500813112,NA,NA,NA
"2022-06-29","SFE-M-1S","SFE-M","none",NA,"none",20.33,-1.18108857928203,NA,-0.420749867978203,-0.602068188654885,-0.262076896573021,-0.454766355113714,1.3077455661561,0.116692445862261,1.54800618235203,-0.0418657133128957,0.0920043052074103,-0.392557782419847,0.126628539034343,-0.511618395662099,-0.113215964983947,-1.66167955396273,-0.841986182810605,NA,-1.01292340084387
"2022-06-29","SFE-M-3","SFE-M","none",NA,"none",23.6,0.0751979095452922,NA,-0.415736761718209,-0.602068188654885,-0.207675986984119,-0.417107200466431,1.25555853652076,-0.566714129703766,-0.462367242215272,0.0765189175996089,0.42154329399523,-1.77695038744303,0.303388611117472,-0.361948004579305,-0.120364971439804,1.08537209588469,-0.841986182810605,NA,-1.01292340084387
"2022-06-29","SFE-M-4","SFE-M","none",NA,"none",25.43,0.375325548525183,NA,0.155279913229749,-0.311021007409396,-0.482543740696464,-0.475247649746448,1.93398992178015,0.490988970326116,0.745009439428827,0.123027165458093,0.400761555963566,0.246392650667776,0.338109339562373,-0.262167743857443,-0.0846199391605145,0.734458401259016,-0.841986182810605,NA,-1.01292340084387
"2022-07-06","RUS-1S","RUS",NA,NA,NA,21.4,-0.466625438701589,0.889564473851066,2.10513952902194,-1.03863896052312,-0.351790677298578,-0.715077003026517,-0.858016163710395,1.5697199649888,2.09646448403761,0.0469227598714826,0.222632372835014,0.0334091729719017,0.00352777454787774,-0.0626072224137178,0.515896603131554,-0.981119661355372,NA,NA,NA
"2022-07-06","RUS-2","RUS",NA,NA,NA,22.84,-0.320545614419341,0.909215511919145,0.0593147362527094,-0.820353574589002,-0.415735606113602,-0.660239988364683,-0.388332896992361,1.0314058623891,0.579799583229316,0.702266252422847,1.04796425466397,0.672359606059525,0.780009519770197,0.935195384804907,1.27130828530055,-0.644384297825689,NA,NA,NA
"2022-07-07","RUS-3","RUS",NA,NA,NA,23.76,1.81576114917498,0.907429053912956,1.20278040222291,-0.45654459803214,-0.387103548435233,-0.475247649746448,0.00306982527266874,1.32789917671159,1.16956034896478,0.702266252422847,1.03312015606992,0.8853430837554,0.773696660052941,0.735634863361182,1.12832815618339,1.29804706232449,NA,NA,NA
"2022-07-12","SAL-1S","SAL","none",NA,"none",20.52,-0.711862477042089,-1.92589334390289,-0.115189105464246,1.58078567068629,0.385007606958123,0.984209764566702,-1.7712891823288,-1.07348639035427,1.81503141504659,-1.87259946992413,-1.65959932889001,-1.77695038744303,-1.82088868373871,-1.50942100288072,-1.62165632716998,0.823072970608933,-0.841986182810605,NA,-1.01292340084387
"2022-07-12","SAL-2","SAL","none",NA,"none",21.64,-0.475478761385362,-1.88837772577292,-0.421466026015345,1.2897384894408,0.0194716705976099,0.59902928808659,-0.127397748815676,-2.02668085405913,-0.848881463928546,-1.85991540232636,-1.69819398523453,-0.818524737811596,-1.79248081501106,-1.25997035107607,-1.60735831425826,-0.0276268951502682,-0.841986182810605,NA,-1.01292340084387
"2022-07-12","SAL-3","SAL","none",NA,"none",22.59,-0.549846671929051,-1.84014335960582,0.135943646226913,0.562120536327073,0.351603539666693,0.498604875693834,-0.753642104439723,-1.31740996809476,0.609575778242018,-1.85145935726118,-1.72491336270381,-0.818524737811596,-1.79879367472832,-1.21008022071514,-1.58591129489069,-0.389174338097928,-0.841986182810605,NA,-1.01292340084387
"2022-07-14","SFE-M-1S","SFE-M","none","medium","medium",21.71,-0.178007119210603,0.124960447202148,-0.634881121083688,0.271073355081583,-0.517856611833119,-0.235418296466378,1.3077455661561,-0.17138971060711,-0.878753711183225,0.232955751305419,0.394823916525947,0.246392650667776,0.382299357583155,-0.262167743857443,-0.110832962831994,1.26969040013251,-0.841986182810605,0.508110001259513,0.484775594088763
