Fluorometer_ID,RFU,Units,Unacidified_acidified,Rack_ID,Extraction_vol,Notes
SAMPLE-001,179293.33,RFU,S,0,0,
SAMPLE-002,2679.46,RFU,SBU,0,0,
SAMPLE-003,2656.46,RFU,SBA,0,0,
SAMPLE-004,6729289.5,RFU,U,1,10,
SAMPLE-005,4148091.75,RFU,A,1,10,
SAMPLE-006,13820.67,RFU,U,2,10,
SAMPLE-007,13068.43,RFU,A,2,10,
SAMPLE-008,5263826.5,RFU,U,3,10,
SAMPLE-009,3111873.5,RFU,A,3,10,
SAMPLE-010,4861394.5,RFU,U,4,10,
SAMPLE-011,2969263,RFU,A,4,10,
SAMPLE-012,5166120,RFU,U,5,10,
SAMPLE-013,2935987.25,RFU,A,5,10,
SAMPLE-014,6935091.5,RFU,U,6,10,
SAMPLE-015,3895591,RFU,A,6,10,
SAMPLE-016,6605532,RFU,U,7,10,
SAMPLE-017,3943313.25,RFU,A,7,10,
SAMPLE-018,4581.91,RFU,U,8,10,
SAMPLE-019,5214.43,RFU,A,8,10,
SAMPLE-001,5828.23,RFU,U,8,10,
SAMPLE-002,5588.74,RFU,A,8,10,
SAMPLE-020,5536878,RFU,U,9,10,
SAMPLE-021,3436589.5,RFU,A,9,10,
SAMPLE-022,12799434,RFU,U,10,10,
SAMPLE-023,7296381.5,RFU,A,10,10,
SAMPLE-024,12244661,RFU,U,11,10,
SAMPLE-025,6996132.5,RFU,A,11,10,
SAMPLE-026,12492331,RFU,U,12,10,
SAMPLE-027,7241486,RFU,A,12,10,
SAMPLE-028,10613414,RFU,U,13,10,
SAMPLE-029,6445888.5,RFU,A,13,10,
SAMPLE-003,10593.83,RFU,U,14,10,
SAMPLE-004,8344.29,RFU,A,14,10,
SAMPLE-005,3105947.25,RFU,U,15,10,
SAMPLE-006,1931035.5,RFU,A,15,10,
SAMPLE-007,3364799.25,RFU,U,16,10,
SAMPLE-008,2049508.12,RFU,A,16,10,
SAMPLE-009,3565528.75,RFU,U,17,10,
SAMPLE-010,2234120.5,RFU,A,17,10,
SAMPLE-019,7731.06,RFU,U,18,10,
SAMPLE-020,8406.82,RFU,A,18,10,
SAMPLE-015,9260583,RFU,U,19,10,
SAMPLE-016,5302765,RFU,A,19,10,
SAMPLE-017,10984888,RFU,U,20,10,
SAMPLE-018,6516090.5,RFU,A,20,10,
SAMPLE-021,7855972.5,RFU,U,21,10,
SAMPLE-022,4565148.5,RFU,A,21,10,
SAMPLE-023,5664.2,RFU,U,22,10,
SAMPLE-024,5722.86,RFU,A,22,10,
SAMPLE-027,7240659,RFU,U,23,10,
SAMPLE-028,4176976.25,RFU,A,23,10,
SAMPLE-029,11963508,RFU,U,24,10,
SAMPLE-030,6712983.5,RFU,A,24,10,
SAMPLE-031,11137443,RFU,U,25,10,
SAMPLE-033,24673.39,RFU,U,26,10,
SAMPLE-034,26301.17,RFU,A,26,10,
SAMPLE-037,10891244,RFU,U,27,10,
SAMPLE-038,5579416.5,RFU,A,27,10,
SAMPLE-039,5895018.5,RFU,U,28,10,
SAMPLE-040,3249907,RFU,A,28,10,
SAMPLE-041,8837413,RFU,U,29,10,
SAMPLE-042,4617912,RFU,A,29,10,
SAMPLE-043,3442939,RFU,U,30,10,
SAMPLE-044,2042254.25,RFU,A,30,10,
SAMPLE-045,4995750.5,RFU,U,31,10,
SAMPLE-047,5902.1,RFU,U,32,10,
SAMPLE-048,6824.07,RFU,A,32,10,
SAMPLE-051,9481938,RFU,U,33,10,
SAMPLE-052,5062959,RFU,A,33,10,
SAMPLE-053,9252764,RFU,U,34,10,
SAMPLE-054,4901316,RFU,A,34,10,
SAMPLE-055,9663477,RFU,U,35,10,
SAMPLE-057,4570058.5,RFU,A,35,10,
SAMPLE-060,11782.26,RFU,U,36,10,
SAMPLE-061,9448.61,RFU,A,36,10,
SAMPLE-062,9688311,RFU,U,37,10,
SAMPLE-063,5470744.5,RFU,A,37,10,
SAMPLE-064,9320481,RFU,U,38,10,
SAMPLE-065,5474703.5,RFU,A,38,10,
SAMPLE-066,11628965,RFU,U,39,10,
SAMPLE-067,6602914.5,RFU,A,39,10,
SAMPLE-069,9656.2,RFU,U,40,10,
SAMPLE-070,8031.93,RFU,A,40,10,
