site_reach,field_date,triplicate,volume_filtered_mL,Rack_ID
RUS-1S,6/24/2022,n,18,1
blank,6/25/2022,n,15,2
SAL-4S,6/27/2022,n,29,3
SAL-2UP,6/27/2022,n,19,4
EEL-4S,6/29/2022,n,21,5
EEL-3UP,6/29/2022,n,21,6
EEL-2UP,6/29/2022,n,20,7
blank,6/30/2022,n,15,8
RUS-1S,7/6/2022,n,16,9
RUS-3UP (1),7/6/2022,y,15,10
RUS-3UP (2),7/6/2022,y,17,11
RUS-3UP (3),7/6/2022,y,16,12
RUS-2UP,7/6/2022,n,24,13
blank,7/7/2022,n,15,14
SAL-4S,7/12/2022,n,16,15
SAL-3UP,7/12/2022,n,18,16
SAL-2UP,7/12/2022,n,20,17
blank,7/13/2022,n,15,18
EEL-4S,7/14/2022,n,20,19
EEL-3UP,7/14/2022,n,16,20
EEL-2UP,7/14/2022,,16,21
blank,7/15/2022,,15,22
RUS-4S,7/20/2022,,16,23
RUS-3UP,7/20/2022,,19,24
RUS-2UP,7/20/2022,,18,25
blank,7/21/2022,,15,26
SAL-4S,7/26/2022,,16,27
SAL-3UP (1),7/26/2022,,14,28
SAL-3UP (2),7/26/2022,,17,29
SAL-3UP (3),7/26/2022,,13,30
SAL-2UP,7/26/2022,,19,31
blank,7/27/2022,,15,32
EEL-4S,7/28/2022,,17,33
EEL-3UP,7/28/2022,,18,34
EEL-2UP,7/28/2022,,20,35
blank,7/29/2022,,15,36
RUS-4S,8/2/2022,,16,37
RUS-3UP,8/2/2022,,18,38
RUS-2UP,8/2/2022,,17,39
blank,8/3/2022,,15,40
